space_id,url,name,country,city,address,latitude,longitude,star_rating,review_count,happiness_score,resource_type,all_resource_types,price,price_currency,price_duration,price_usd,hot_desk_month_price,dedicated_desk_month_price,capacity,max_meeting_room_capacity,amenities_list,has_wifi,has_meeting_rooms,has_kitchen,has_natural_light,has_24_7_access,has_printer,has_phone_booth,has_air_conditioning,has_coffee_tea,has_standing_desks,has_ergonomic_chairs,has_events_workshops,has_parking,has_lounge_relaxation,has_pet_friendly
4174,https://www.coworker.com/india/new-delhi/empowerers-co-working,Empowerers Co-Working,India,New Delhi,"Saira Tower, Gulmohar Commercial Complex,,  Green Park Metro Exit: 2",28.6139391,77.2090212,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,499.0,INR,day,7.0,7499.0,7999.0,166.0,12.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Printer"", ""Scanner"", ""Photocopier"", ""Outdoor Terrace"", ""Personal Lockers"", ""24hr member access""]",1,0,0,0,0,1,0,1,1,1,1,1,0,1,0
11931,https://www.coworker.com/india/new-delhi/sp-coworking-delhi,SP Coworking Delhi,India,New Delhi,"K-43 A, Kalkaji",28.6139391,77.2090212,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,4000.0,INR,month,56.0,4000.0,4000.0,18.0,6.0,"[""High-Speed WiFi"", ""Air Conditioning"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Beanbags"", ""Ergonomic Chairs"", ""Printer"", ""Photo Studio"", ""Personal Lockers"", ""Event Space For Rent"", ""Board Games"", ""5 Minute Walk From Public Transit"", ""Free Snacks"", ""Snacks Available for Purchase"", ""Free Tea""]",1,0,1,0,0,1,0,1,1,0,1,0,0,0,0
9512,https://www.coworker.com/india/new-delhi/flockwork,Flockwork,India,New Delhi,6 Tilak Marg,28.6139391,77.2090212,5.0,5,5.0,Hot Desk,Private Workspace; Hot Desks,9999.0,INR,month,140.0,9999.0,,42.0,8.0,"[""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Free Coffee"", ""Air Conditioning"", ""Kitchen"", ""Free Drinking Water"", ""Swimming Pool"", ""Ergonomic Chairs"", ""Phone Booth"", ""Printer"", ""Scanner"", ""Photocopier""]",1,0,1,0,0,1,1,1,1,0,1,0,0,1,0
10818,https://www.coworker.com/india/new-delhi/team-cowork,Team CoWork,India,New Delhi,Gali Number 2,28.6139391,77.2090212,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,350.0,INR,day,5.0,5500.0,6000.0,35.0,15.0,"[""High-Speed WiFi"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Beanbags"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Facebook Group for Members"", ""Mentorship Programs"", ""Pitching events"", ""Accelerator programs"", ""Printer"", ""Scanner"", ""Photocopier"", ""Computers (PCs)"", ""Projector"", ""Screen Printer"", ""Outdoor Terrace"", ""Personal Lockers"", ""Event Space For Rent"", ""Library"", ""Parking"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""Catering Kitchen"", ""Snacks Available for Purchase"", ""Free Tea""]",1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
10297,https://www.coworker.com/india/new-delhi/altspace-hq,Altspace HQ,India,New Delhi,19 A-1 Block Road,28.6139391,77.2090212,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,200.0,INR,day,3.0,4999.0,5999.0,37.0,,"[""High-Speed WiFi"", ""Air Conditioning"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Beanbags"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Facebook Group for Members"", ""Pitching events"", ""Incubator programs"", ""Accelerator programs"", ""Printer"", ""Scanner"", ""Photocopier"", ""Nearby Airbnb"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""10 Minute Walk From Public Transit"", ""24hr member access"", ""Snacks Available for Purchase"", ""Free Tea"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,0,1,1,1,1,0
8085,https://www.coworker.com/india/new-delhi/etribe-coworking,eTribe Coworking,India,New Delhi,"13-A, 2nd floor, Pocket 5, Pratap Nagar, Mayur Vihar Phase 1",28.6139391,77.2090212,5.0,1,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,249.0,INR,day,3.0,3750.0,4750.0,30.0,6.0,"[""High-Speed WiFi"", ""Air Conditioning"", ""Standing Desks"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Beanbags"", ""Ergonomic Chairs"", ""Events"", ""Printer"", ""Scanner"", ""Photocopier"", ""Personal Lockers"", ""Library"", ""Parking"", ""24hr member access"", ""Free Tea"", ""Coffee For Purchase""]",1,0,1,0,0,1,0,1,1,1,1,1,1,0,0
9712,https://www.coworker.com/india/new-delhi/supreme-cowork,Supreme Cowork,India,New Delhi," Shaheed Udham Singh Marg, Delhi - 110088",28.6139391,77.2090212,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,6500.0,INR,month,91.0,6500.0,6500.0,100.0,1.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Workshops"", ""Community Lunches"", ""Facebook Group for Members"", ""Mentorship Programs"", ""Pitching events"", ""Incubator programs"", ""Printer"", ""Scanner"", ""Photocopier"", ""Outdoor Terrace"", ""Personal Lockers"", ""Phone Booth"", ""Library"", ""Gym"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""10 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""Catering Kitchen"", ""Snacks Available for Purchase"", ""Onsite Restaurant"", ""Free Tea"", ""Onsite Cafe""]",1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
7632,https://www.coworker.com/new-zealand/nelson/boiler-room,Boiler Room,New Zealand,Nelson,204 Hardy Street,-41.2706319,173.2839653,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Dedicated Desks,200.0,NZD,week,131.0,260.0,380.0,16.0,1.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Ergonomic Chairs"", ""Events"", ""Slack Channel For Members"", ""Apple TV"", ""Phone Booth"", ""Personal Lockers"", ""Showers"", ""Event Space For Rent"", ""Art Gallery"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""24hr member access"", ""Onsite Restaurant"", ""Paleo Menu"", ""Vegan Menu"", ""Vegetarian Menu"", ""Gluten Free Menu"", ""Free Tea"", ""Onsite Cafe"", ""Onsite Barista"", ""Coffee For Purchase""]",1,0,1,0,0,0,1,1,1,0,1,1,1,1,0
1274,https://www.coworker.com/new-zealand/nelson/the-bridge-street-collective,The Bridge Street Collective,New Zealand,Nelson,111 Bridge Street,-41.2706319,173.2839653,5.0,36,5.0,Hot Desk,Hot Desks; Dedicated Desks,25.0,NZD,day,16.0,40.0,40.0,70.0,10.0,"[""High-Speed WiFi"", ""Heating"", ""Air Conditioning"", ""Standing Desks"", ""Lounge / Chill-out Area"", ""Kitchen"", ""Free Drinking Water"", ""Free Coffee"", ""Beanbags"", ""Ergonomic Chairs"", ""Events"", ""Community Lunches"", ""Community Drinks"", ""Slack Channel For Members"", ""Pitching events"", ""Organized Sports Team"", ""Toastmasters"", ""Printer"", ""Scanner"", ""Photocopier"", ""Computers (PCs)"", ""Computers (Macs)"", ""Apple TV"", ""Outdoor Terrace"", ""Phone Booth"", ""Event Space For Rent"", ""Nearby Airbnb"", ""Library"", ""Free Beer"", ""Pet friendly"", ""Free Wine"", ""Arcade Games"", ""Bike Parking"", ""5 Minute Walk From Public Transit"", ""Wheelchair Accessibility"", ""24hr member access"", ""Catering Kitchen"", ""Onsite Restaurant"", ""Paleo Menu"", ""Vegan Menu"", ""Vegetarian Menu"", ""Gluten Free Menu"", ""Free Tea"", ""Onsite Cafe"", ""Onsite Barista"", ""Coffee For Purchase""]",1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
25004,https://www.coworker.com/canada/toronto/regus-ontario-toronto-don-mills,"Regus - Ontario, Toronto - Don Mills",Canada,Toronto,"895 Don Mills Road, Two Morneau Shepell Centre, Suite 900",43.653226,-79.3831843,5.0,2,5.0,Hot Desk,Private Workspace; Hot Desks; Virtual Office,265.0,CAD,month,201.0,265.0,,,6.0,"[""5 Minute Walk From Public Transit"", ""Air Conditioning"", ""Kitchen"", ""Wheelchair Accessibility"", ""High-Speed WiFi"", ""Lounge / Chill-out Area"", ""Ergonomic Chairs""]",1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
